dird_number,title,author,year,classification_status,topic_category,source_id,notes
01,Metallic Glasses — Status and Prospects for Aerospace Applications,,2008-2010,declassified,materials,dird-collection,""
02,Aerospace Applications of Programmable Matter,,2008-2010,declassified,materials,dird-collection,""
03,Pulsed High-Power Microwave Source Technology,J. Wells,2008-2010,declassified,energy,dird-collection,""
04,Biomaterials,B. Towe,2008-2010,declassified,materials,dird-collection,""
05,Materials for Advanced Aerospace Platforms,,2008-2010,declassified,materials,dird-collection,""
06,Space Access — Where We've Been and Where We Could Go,P. Czysz,2008-2010,declassified,propulsion,dird-collection,""
07,Invisibility Cloaking — Theory and Experiments,U. Leonhardt,2008-2010,declassified,stealth,dird-collection,"Transformation optics"
08,Positron Aerospace Propulsion,,2008-2010,declassified,propulsion,dird-collection,""
09,Inertial Electrostatic Confinement Fusion,G. Miley,2008-2010,declassified,energy,dird-collection,"IEC fusion for compact systems"
10,Metallic Spintronics,,2008-2010,declassified,materials,dird-collection,""
11,Advanced Nuclear Propulsion for Manned Deep Space Missions,F. Winterberg,2008-2010,declassified,propulsion,dird-collection,""
12,Technological Approaches to Controlling External Devices in the Absence of Limb-Operated Interfaces,,2008-2010,declassified,interface,dird-collection,"Brain-machine interface"
13,Warp Drive Dark Energy and the Manipulation of Extra Dimensions,"R. Obousy, E. Davis",2008-2010,declassified,spacetime,dird-collection,"DIA-08-1004-001"
14,The Role of Superconductors in Gravity Research,G. Hathaway,2008-2010,declassified,spacetime,dird-collection,""
15,Advanced Space Propulsion Based on Vacuum (Spacetime Metric) Engineering,H. Puthoff,2008-2010,declassified,spacetime,dird-collection,"DIA-08-1003-015"
16,The Space Communication Implications of Quantum Entanglement and Nonlocality,,2008-2010,declassified,quantum,dird-collection,""
17,Maverick Inventor Versus Corporate Inventor,G. Hathaway,2008-2010,declassified,other,dird-collection,""
18,Traversable Wormholes Stargates and Negative Energy,E. Davis,2008-2010,declassified,spacetime,dird-collection,""
19,Antigravity for Aerospace Applications,E. Davis,2008-2010,declassified,spacetime,dird-collection,""
20,Biosensors and BioMEMS,B. Towe,2008-2010,declassified,materials,dird-collection,""
21,High-Frequency Gravitational Wave Communications,R. Baker,2008-2010,declassified,spacetime,dird-collection,""
22,Metamaterials for Aerospace Applications,G. Shvets,2008-2010,declassified,materials,dird-collection,""
23,State of the Art and Evolution of High-Energy Laser Weapons,J. Albertine,2008-2010,declassified,energy,dird-collection,""
24,Concepts for Extracting Energy from the Quantum Vacuum,E. Davis,2008-2010,declassified,energy,dird-collection,""
25,An Introduction to the Statistical Drake Equation,C. Maccone,2008-2010,declassified,other,dird-collection,""
26,Anomalous Acute and Subacute Field Effects on Human Biological Tissues,K. Green,2008-2010,declassified,effects,dird-collection,"Biological effects of UAP proximity"
27,Laser Lightcraft Nanosatellites,E. Davis,2008-2010,declassified,propulsion,dird-collection,""
28,Cockpits in the Era of Breakthrough Flight,,2008-2010,declassified,interface,dird-collection,""
29,Negative Mass Propulsion,F. Winterberg,2008-2010,declassified,spacetime,dird-collection,""
30,Aneutronic Fusion Propulsion,W. Culbreth,2008-2010,declassified,energy,dird-collection,""
31,Detection and High Resolution Tracking of Vehicles at Hypersonic Velocities,W. Culbreth,2008-2010,declassified,detection,dird-collection,""
32,Ultracapacitors as Energy and Power Storage Devices,J. Golightly,2008-2010,declassified,energy,dird-collection,""
33,MHD Air Breathing Propulsion and Power for Aerospace Applications,S. Macheret,2008-2010,declassified,propulsion,dird-collection,""
34,Cognitive Limits on Simultaneous Control of Multiple Unmanned Spacecraft,,2008-2010,declassified,interface,dird-collection,""
35,Quantum Computing and Utilizing Organic Molecules in Automation Technology,R. Genik,2008-2010,declassified,quantum,dird-collection,""
36,Quantum Tomography of Negative Energy States in the Vacuum,E. Davis,2008-2010,declassified,spacetime,dird-collection,""
37,Aneutronic Fusion Propulsion II,,2008-2010,declassified,energy,dird-collection,""
38,State of the Art and Evolution of High-Energy Laser Weapons (CLASSIFIED),J. Albertine,2008-2010,SECRET/NOFORN,energy,,"Sole DIRD retaining classification"
