date,event,category,significance,source_id,notes
1947-06-24,Kenneth Arnold sighting near Mount Rainier,sighting,high,historical,"Coined 'flying saucer' terminology"
1947-07-08,Roswell incident,incident,high,historical,"Army initially reported 'flying disc' recovered"
1947-12-30,Project Sign established by USAF,government,high,src-033,"First official USAF UFO investigation program"
1949-02-11,Project Grudge replaces Project Sign,government,medium,src-033,"Skeptical successor program"
1952-03-01,Project Blue Book begins,government,high,src-033,"Longest-running USAF UFO program (1952-1969)"
1966-10-07,Condon Committee formed at University of Colorado,government,high,src-033,"Independent scientific study commissioned by USAF"
1969-01-30,Condon Report released; Blue Book closed,government,high,src-033,"Concluded no scientific value in further study; 12618 cases reviewed"
2004-11-14,USS Nimitz encounter (Tic Tac incident),military,high,src-031,"CDR Fravor encounter; radar tracked descent 80000ft to 50ft in <1s"
2007-01-01,AATIP/AAWSAP program begins under DIA,government,high,src-033,"$22M funding via Senators Reid Stevens Inouye"
2008-01-01,DIA commissions 38 DIRDs under AAWSAP contract,government,high,dird-index,"Bigelow Aerospace Advanced Space Studies (BAASS)"
2012-01-01,AATIP program funding ends,government,medium,src-033,"Informal investigation continued by Elizondo"
2017-12-16,NYT reveals AATIP existence,media,high,nyt-aatip-2017,"Three UAP videos released simultaneously"
2020-04-27,Pentagon officially releases three UAP videos,government,high,src-031,"Nimitz (FLIR1) Gimbal GoFast confirmed authentic"
2021-06-25,ODNI Preliminary Assessment published,government,high,src-031,"144 reports catalogued (Nov 2004-Mar 2021)"
2022-01-01,ODNI 2022 Annual Report expands to 510 reports,government,high,src-032,"171 remained uncharacterized"
2022-03-25,37 of 38 DIRDs declassified via FOIA,government,high,dird-collection,"DIRD #38 (laser weapons) retained SECRET/NOFORN"
2022-07-15,AARO established by Department of Defense,government,high,src-033,"All-domain Anomaly Resolution Office"
2022-12-05,NIF achieves fusion ignition,science,high,nif-ignition,"First scientific breakeven: 2.05 MJ → 3.15 MJ"
2023-01-01,ODNI 2022 UAP Annual Report,government,high,src-032,"Total expanded to 510 reports"
2023-07-26,House Oversight Committee UAP hearing,government,high,house-uap-hearing-2023,"Grusch Fravor Graves testimony"
2024-03-01,AARO Historical Record Report Volume I,government,high,src-033,"No verifiable evidence of ET activity or reverse-engineering"
2025-04-01,NIF achieves gain ~4.13,science,high,nif-ignition,"2.08 MJ → 8.6 MJ fusion output"
